acamar;θ1 eri
taiyangshou;χ uma
taiyi;8 dra
talitha;ι uma
tania australis;μ uma
tania borealis;λ uma
tarazed;γ aql
tarf;β cnc
taygeta;19 tau
tegmine;ζ1 cnc
tejat;μ gem
terebellum;ω sgr
theemin;υ02 eri
thuban;α dra
tiaki;β gru
tianguan;ζ tau
tianyi;7 dra
titawin;υ and
toliman;α cen
tonatiuh;cam
torcular;ο psc
tureis;ρ pup
ukdah;ι hya
unukalhai;α ser
unurgunite;σ cma
vega;α lyr
veritate;14 and
vindemiatrix;ε vir
wasat;δ gem
wazn;β col
wezen;δ cma
wurren;ζ phe
xamidimura;μ01 sco
xuange;λ boo
yed posterior;ε oph
yed prior;δ oph
yildun;δ umi
zaniah;η vir
zaurak;γ eri
zavijava;β vir
zhang;υ01 hya
zibal;ζ eri
zosma;δ leo
zubenelgenubi;α2 lib
zubenelhakrabi;γ lib
zubeneschamali;β lib
