Acamar;θ1 Eri
Polaris Australis;σ Oct
Polis;μ Sgr
Pollux;β Gem
Porrima;γ Vir
Praecipua;46 LMi
Prima Hyadum;γ Tau
Procyon;α CMi
Propus;η Gem
Proxima Centauri;α Cen
Ran;ε Eri
Rasalas;μ Leo
Rasalgethi;α1 Her
Rasalhague;α Oph
Rastaban;β Dra
Regulus;α Leo
Revati;ζ Psc
Rigel;β Ori
Rigil Kentaurus;α Cen
Rotanev;β Del
Ruchbah;δ Cas
Rukbat;α Sgr
Sabik;η Oph
Saclateni;ζ Aur
Sadachbia;γ Aqr
Sadalbari;μ Peg
Sadalmelik;α Aqr
Sadalsuud;β Aqr
Sadr;γ Cyg
Saiph;κ Ori
Salm;τ Peg
Sargas;θ Sco
Sarin;δ Her
Sceptrum;53 Eri
Scheat;β Peg
Schedar;α Cas
Secunda Hyadum;δ Tau
Segin;ε Cas
Seginus;γ Boo
Sham;α Sge
Shaula;λ Sco
Sheliak;β Lyr
Sheratan;β Ari
Sirius;α CMa
Situla;κ Aqr
Skat;δ Aqr
Spica;α Vir
Sualocin;α Del
Subra;ο Leo
Suhail;λ Vel
Sulafat;γ Lyr
Syrma;ι Vir
Tabit;π03 Ori
Taiyangshou;χ UMa
Taiyi;8 Dra
Talitha;ι UMa
Tania Australis;μ UMa
Tania Borealis;λ UMa
Tarazed;γ Aql
Tarf;β Cnc
Taygeta;19 Tau
Tegmine;ζ1 Cnc
Tejat;μ Gem
Terebellum;ω Sgr
Theemin;υ02 Eri
Thuban;α Dra
Tiaki;β Gru
Tianguan;ζ Tau
Tianyi;7 Dra
Titawin;υ And
Toliman;α Cen
Tonatiuh;Cam
Torcular;ο Psc
Tureis;ρ Pup
Ukdah;ι Hya
Unukalhai;α Ser
Unurgunite;σ CMa
Vega;α Lyr
Veritate;14 And
Vindemiatrix;ε Vir
Wasat;δ Gem
Wazn;β Col
Wezen;δ CMa
Wurren;ζ Phe
Xamidimura;μ01 Sco
Xuange;λ Boo
Yed Posterior;ε Oph
Yed Prior;δ Oph
Yildun;δ UMi
Zaniah;η Vir
Zaurak;γ Eri
Zavijava;β Vir
Zhang;υ01 Hya
Zibal;ζ Eri
Zosma;δ Leo
Zubenelgenubi;α2 Lib
Zubenelhakrabi;γ Lib
Zubeneschamali;β Lib
